Коновалов,Герасим,Факультет наук о материалах,3,Двоечник,8.8.2003,+78-175-208987,
Потапова,Звенислава,Институт стран Азии и Африки,1,Отличник,17.4.2005,+40-146-314776,
Гущин,Ираклий,Юридический факультет,5,Отличник,17.11.2001,+16-245-118508,
Игнатов,Никита,Факультет мировой политики,4,Двоечник,24.8.2002,+59-445-462853,
Селиверстов,Аркадий,Географический факультет,2,Троешник,15.12.2004,+1-453-203805,
Королёва,Татьяна,Факультет почвоведения,2,Двоечник,30.8.2004,+60-194-555267,
Дроздова,Аделина,Факультет биоинженерии и биоинформатики,5,Двоечник,28.4.2001,+5-212-637312,
Кулагин,Панкратий,Факультет искусств,3,Хорошист,13.1.2003,+16-402-447649,
Денисов,Максим,Факультет вычислительной математики и кибернетики,2,Двоечник,9.4.2004,+24-471-204978,
Корнилова,Алевтина,Высшая школа современных социальных наук,1,Отличник,22.6.2005,+25-423-573327,
Королёв,Архипп,Факультет искусств,4,Двоечник,16.2.2002,+80-310-546342,
Карпова,Соломонида,Факультет мировой политики,1,Хорошист,17.6.2005,+83-446-303059,
Лазарева,Анелина,Факультет государственного управления,4,Хорошист,18.8.2002,+25-341-574348,
Чернов,Никита,Факультет политологии,3,Отличник,21.1.2003,+34-188-578002,
Большакова,Матрона,Факультет психологии,5,Двоечник,4.11.2001,+68-175-116487,
Рябова,Евсевия,Исторический факультет,3,Двоечник,28.11.2003,+86-168-437409,
Миронов,Евстафий,Факультет фундаментальной физико-химической инженерии,1,Отличник,9.8.2005,+29-287-311432,
Коновалова,Мелитина,Механико-математический факультет,1,Троешник,5.11.2005,+43-420-422825,
Фролов,Юрий,Факультет фундаментальной медицины,5,Двоечник,26.5.2001,+98-341-716250,
Носова,Жасмина,Факультет политологии,5,Отличник,8.3.2001,+95-133-211334,
Иванов,Иван,АТФ,3,Отличник,12.03.2001,123,
Шарапова,Гертруда,Факультет государственного управления,4,Троешник,28.11.2002,+81-412-577247,
Воронцова,Грета,Институт стран Азии и Африки,5,Отличник,2.1.2001,+96-176-426840,
Федосеев,Святослав,Химический факультет,5,Хорошист,21.11.2001,+56-466-781958,
Харитонова,Лукерья,Факультет искусств,3,Двоечник,24.4.2003,+42-304-208569,
Степанова,Олимпиада,Юридический факультет,2,Отличник,19.1.2004,+26-301-985876,
Гурьев,Иакинф,Московская школа экономики,3,Двоечник,13.4.2003,+74-287-930238,
Носов,Василий,Социологический факультет,3,Троешник,22.1.2003,+21-306-953105,
Белов,Кузьма,Высшая школа современных социальных наук,3,Двоечник,17.5.2003,+16-394-469696,
Петров,Трифон,Факультет фундаментальной медицины,3,Хорошист,24.11.2003,+56-397-196378,
Евсеев,Альберт,Факультет политологии,5,Хорошист,7.9.2001,+29-427-780487,
Голубева,Ирен,Биологический факультет,2,Троешник,1.12.2004,+93-490-508863,
Морозова,Сарра,Социологический факультет,2,Двоечник,24.6.2004,+39-390-996737,
Тетерин,Алексей,Географический факультет,5,Отличник,21.12.2001,+19-149-147340,
Исаков,Пафнутий,Факультет политологии,2,Двоечник,1.1.2004,+57-137-203326,
Сазонов,Олег,Московская школа экономики,1,Двоечник,11.2.2005,+12-335-838471,
Баранова,Прибыслава,Исторический факультет,1,Двоечник,27.2.2005,+98-414-779582,
Гришина,Анжела,Факультет психологии,5,Двоечник,2.9.2001,+89-477-863995,
Кабанова,Арсения,Московская школа экономики,3,Двоечник,30.2.2003,+47-370-423198,
Гуляев,Фёдор,Институт стран Азии и Африки,1,Отличник,22.2.2005,+13-257-477291,
Жукова,Соня,Факультет вычислительной математики и кибернетики,3,Отличник,10.7.2003,+24-129-418491,
Панфилов,Никон,Факультет государственного управления,5,Хорошист,26.9.2001,+83-220-352568,
Сергеев,Семён,Социологический факультет,5,Отличник,4.5.2001,+5-472-825660,
Фролов,Иван,Факультет фундаментальной медицины,5,Отличник,22.8.2001,+45-496-449538,
Михайлов,Эраст,Географический факультет,2,Двоечник,16.8.2004,+19-431-171776,
Ершов,Прохор,Факультет мировой политики,2,Отличник,18.6.2004,+71-245-444025,
Калинина,Велислава,Факультет космических исследовании,3,Двоечник,27.1.2003,+49-379-151972,
Баранова,Глория,Факультет почвоведения,1,Хорошист,4.1.2005,+79-369-308911,
Некрасов,Станислав,Юридический факультет,2,Троешник,7.1.2004,+36-141-119279,
Тарасова,Адриана,Экономический факультет,5,Троешник,14.12.2001,+59-217-565865,
Туроа,Евгения,Факультет вычислительной математики и кибернетики,4,Троешник,1.11.2002,+3-211-367719,
Веселова,Аделаида,Факультет наук о материалах,2,Двоечник,22.8.2004,+87-134-374184,
Лазарева,Феония,Биотехнологический факультет,3,Двоечник,19.1.2003,+19-371-791885,
Устинов,Федосей,Высшая школа бизнеса,4,Отличник,9.2.2002,+90-447-101710,
Гущин,Добрыня,Исторический факультет,4,Отличник,17.12.2002,+65-413-119352,
Пахомова,Нюша,Факультет почвоведения,1,Двоечник,25.5.2005,+91-391-848493,
Овчинникова,Любомила,Высшая школа бизнеса,4,Хорошист,18.11.2002,+68-200-337869,
Колобова,Степанида,Высшая школа современных социальных наук,3,Троешник,14.5.2003,+85-192-516598,
